source_id,source_type,title,author,url,date_accessed,relevance_score,notes
SR001,Codebase,"src/specify_cli/core/paths.py","spec-kitty contributors",,2025-12-17,10,"Existing path resolution logic - primary source for migration patterns"
SR002,Codebase,"src/specify_cli/tasks_support.py (tasks_cli.py)","spec-kitty contributors",,2025-12-17,10,"850 lines of task management logic to migrate to Typer"
SR003,User Feedback,"Direct user input: agents struggle with bash scripts","Robert (project maintainer)",,2025-12-17,10,"Primary problem statement and motivation for migration"
SR004,Codebase,".kittify/scripts/bash/ directory inventory","spec-kitty contributors",,2025-12-17,10,"Complete list of 24 bash scripts to be migrated"
SR005,Codebase,"Bash script wrappers analysis","spec-kitty contributors",,2025-12-17,9,"15 scripts are thin wrappers calling Python - low migration complexity"
SR006,Codebase,"scripts/bash/common.sh","spec-kitty contributors",,2025-12-17,9,"600-line utility library with path/git operations"
SR007,Codebase,"src/specify_cli/core/project_resolver.py","spec-kitty contributors",,2025-12-17,9,"resolve_worktree_aware_feature_dir() function - worktree detection pattern"
SR008,Git Commit,"Commit d9a07fc: fix broken symlink handling","spec-kitty contributors",,2025-12-17,8,"Recent fix validates symlink edge case handling approach"
SR009,Codebase,"Windows symlink fallback pattern","spec-kitty contributors",,2025-12-17,8,"Existing pattern: copy files when symlinks not supported"
SR010,Codebase,"src/specify_cli/upgrade/migrations/m_0_9_0_frontmatter_only.py","spec-kitty contributors",,2025-12-17,10,"Successful migration precedent - proves upgrade infrastructure works"
SR011,Codebase,"Migration version tracking in .kittify/metadata.yaml","spec-kitty contributors",,2025-12-17,8,"Idempotent migration pattern using version registry"
SR012,Documentation,"Typer Documentation - Optional Parameters","Sebastián Ramírez",https://typer.tiangolo.com/tutorial/options/,2025-12-17,9,"Pattern for --json flag implementation"
SR013,Codebase,"Rich console usage in existing CLI commands","spec-kitty contributors",,2025-12-17,7,"Established pattern for dual output modes (rich UI vs plain text)"
SR014,Documentation,"Typer Documentation - Sub-Applications","Sebastián Ramírez",https://typer.tiangolo.com/tutorial/subcommands/,2025-12-17,9,"Sub-app pattern for spec-kitty agent namespace"
SR015,Codebase,"tests/ directory pytest patterns","spec-kitty contributors",,2025-12-17,8,"Existing test infrastructure for achieving 90%+ coverage"
SR016,User Input,"Detailed 7-phase migration plan","Robert (project maintainer)",,2025-12-17,9,"Proposed implementation approach requiring validation"
SR017,Codebase,".github/workflows/scripts/ directory (6 bash scripts)","spec-kitty contributors",,2025-12-17,7,"CI workflow scripts to migrate to spec-kitty agent build-release"
SR018,Standard,"PEP 8 - Python Style Guide","Python Software Foundation",https://www.python.org/dev/peps/pep-0008/,2025-12-17,8,"Python coding standards for path handling and module structure"
SR019,Documentation,"Git Worktree Documentation","Git contributors",https://git-scm.com/docs/git-worktree,2025-12-17,8,"Validates worktree structure and symlink usage patterns"
